,COEFFICIENTS,ENCODINGS
0,1,JO\KkvaqPt_
1,1,J@macvpTsg_
2,1,JDcqownEtN?
3,1,Jr?LCs[mkn?
4,1,JbHObsK^LV?
5,0,JMQJDcKdde_
6,1,JpDOaiK~UX_
7,0,JEqcqHKc~Q_
8,1,J@xHhiMS|u?
9,1,JEKLiiwSuw_
10,1,JIYeP_hc|`_
11,1,JNAIcpegOn?
12,1,JpOMEKkuXX_
13,1,JgeGahi\ZN?
14,0,JSXSpOguZf?
15,0,JNAWauCgH^?
16,1,J@wrD\UCIm?
17,1,J`SKs[K\^N?
18,1,J{A_oHIG|~?
19,1,JaM@o[Kymu?
20,1,JJIa`hK^su_
21,0,Jb_Ko{Knqj?
22,1,JAyBqLDd]Q_
23,0,JghEMGTMlX_
24,0,JMEUBcKhbh_
25,1,JPoVQLDK{X_
26,0,JMFEB_eKvE_
27,1,JdCopgzG|n?
28,0,JoeGaUiXjn?
29,0,J`cL[REWh~?
30,0,JMQMDcKXLe_
31,0,JKqMEKKU\X_
32,1,JqaECLLS^X_
33,1,JEV@`XKuj}?
34,1,J@wrDlKKhs?
35,1,JDqPcklirT_
36,1,JRO{Akmgsf_
37,1,JBoFyUCMlX?
38,0,JuAaOQKpNu_
39,1,JAwYxTCNcj?
40,0,JQW{?{mied_
41,0,JBrHSGK}lX_
42,1,JPorEHmKky_
43,1,JageQXUS^X_
44,1,JKMKaqeXeE_
45,1,JwDaHGWr^E_
46,1,JIiiAgnXpt_
47,1,JbGTIkkVaw_
48,0,JdOkTIMXUf_
49,1,JDTT@~JDJN?
50,1,JJHShgNrBF_
51,1,JHUTHKWNue?
52,1,JAkbzDOFuE_
53,0,J`SFMMgNaw_
54,1,Jb_iD[]XUd_
55,1,JIUc`W^enI_
56,0,JMEgaYV`dZ_
57,0,J`cEktKNtP?
58,1,JNAB`ZVhJN?
59,1,JBYQwKfadN_
60,0,JHUTHSSNue?
61,1,JBoeuSKNJU?
62,1,JBShpo^j_x_
63,1,JFHQbYNodT_
64,0,JCwis[KR]w?
65,1,JBWUjK[NdE?
66,1,JePSWWcXfe_
67,0,J@\FHZQfIi?
68,1,JSSVEHk^ci_
69,1,Jr?LDK[mjN?
70,1,JMP`f_Wdde_
71,0,JbGMXGtK|P_
72,1,JDTTF_k\ue_
73,1,JJIWaig|JN?
74,0,JYF`DCOXNn?
75,1,JBKitOwtZo?
76,1,JHpgdoTK|X_
77,0,JagLDlLS]P_
78,1,JSZC``UhZe?
79,0,J?~oSKHREE_
80,1,JbO[WW[lnN?
81,1,J`oUI]KLnE?
82,1,JBW[wW[mlN?
83,1,JRCMo[Kmq}?
84,1,J`gFE[uShe?
85,0,JGuFCkhMXx?
86,0,JyB_CKGeR~?
87,1,JGyEckhMXu?
88,1,JyB_CSCeR~?
89,1,JgqDHOuMZf?
90,1,JwRC?gjK|n?
91,1,JWVD@GX^Xn?
92,1,JYF`GIGiJ~?
93,1,JooE`tMK|n?
94,1,JooE`tMK|e?
95,0,J[RcW?CI|n?
96,1,J_kHdlTXpn?
97,1,JqIC`SsyZf?
98,1,JCwZPXKuge?
99,0,JN?YxSCIH^?
100,1,J{?apGgY|n?
101,1,J_sFWXMK|n?
102,1,JWVDOGJK|n?
103,1,J?}`oXMK|n?
104,1,JPWMa]eLqu_
105,1,JEobrHMDNQ_
106,1,Jx@EIGTL|X_
107,1,JrAI?kku\X_
108,1,JT_ZPGlS}H_
109,0,JbGJTIg}In?
110,1,JMQRBSSdde_
111,1,J?~oTC`QQh_
112,0,JbCXXKWo]U_
113,1,J{AcP?KU~X_
114,0,J_[RZCdFtP_
115,0,JFFC`WtMjY?
116,1,JOmE`HzMjX_
117,0,JXHUHOolj`_
118,0,JN?YjMGGO~?
119,1,J@ygbItK{Q_
120,1,J`gMYHLTwX_
121,1,J`gRWiS]Km?
122,0,J{AgOQIDJ~?
123,1,JwaB@OvK|f?
124,1,JSjA``UhZe?
125,0,J?~oME__bh_
126,1,JAsirHhXpn?
127,1,Jw_bBQo\l`_
128,1,J{?aooge|n?
129,1,JN?YxQDGH^?
130,1,J`gMD\LTiH_
131,1,JBKdbuSujW_
132,1,JbIDDJS}JN?
133,1,Jx?MWGTL|X_
134,0,JpQc@MWpZe_
135,1,JpQa@MgpZe_
136,1,JeJ?ckcgvn?
137,1,JeJ?dLDHRV?
138,1,JDg]E[sKlP_
139,1,JEoxGzcZ@t_
140,0,JagLWhS\Ye?
141,0,JFROpGjGJN?
142,0,JaSRRSgs\f?
143,0,JwJ?_WMuj}?
144,0,JEgNQg]cYe?
145,0,JKqWeOswXn?
146,0,JkDaFOSp^E_
147,0,JbCXWsgokn?
148,0,JoYD@eTc|o_
149,1,JpFAP?qlre_
150,0,JFFBPOqdbe_
151,0,JXGmQGLT{X_
152,1,JNAIcsciOn?
153,1,JHUSdPW}Xn?
154,0,JoUB@UeiJn?
155,1,JqEP@SsyJn?
156,0,JkIOdLDHRV?
157,1,JiI`HJCiQv?
158,1,JkIOdLDHQz?
159,0,JkIOckcgvn?
160,0,JIUchQWK^n?
161,0,JEVDQHIcpn?
162,0,JIiiIIcS^X_
163,0,JNAE`tEEPN?
