"FACES_MULT3","FACES_MULT4","FACES_MULT5"
18,0,0
16,1,0
18,0,0
16,1,0
16,1,0
12,3,0
16,1,0
14,2,0
18,0,0
16,1,0
12,3,0
11,2,1
14,2,0
16,1,0
14,2,0
10,4,0
12,3,0
18,0,0
12,3,0
14,2,0
18,0,0
16,1,0
14,2,0
14,2,0
12,3,0
14,2,0
13,1,1
18,0,0
16,1,0
16,1,0
12,3,0
14,2,0
14,2,0
18,0,0
12,3,0
18,0,0
16,1,0
14,2,0
12,3,0
14,2,0
16,1,0
16,1,0
16,1,0
16,1,0
12,3,0
12,3,0
18,0,0
14,2,0
16,1,0
18,0,0
16,1,0
14,2,0
14,2,0
14,2,0
16,1,0
18,0,0
16,1,0
14,2,0
18,0,0
16,1,0
14,2,0
14,2,0
18,0,0
16,1,0
14,2,0
14,2,0
13,1,1
14,2,0
16,1,0
16,1,0
12,3,0
14,2,0
18,0,0
16,1,0
12,3,0
14,2,0
16,1,0
14,2,0
12,3,0
8,5,0
18,0,0
14,2,0
18,0,0
16,1,0
12,3,0
14,2,0
10,4,0
14,2,0
12,0,2
14,2,0
14,2,0
16,1,0
12,3,0
18,0,0
14,2,0
10,4,0
18,0,0
14,2,0
12,3,0
10,4,0
14,2,0
18,0,0
14,2,0
18,0,0
18,0,0
14,2,0
14,2,0
14,2,0
14,2,0
16,1,0
12,3,0
9,3,1
12,3,0
12,3,0
14,2,0
14,2,0
18,0,0
12,3,0
10,4,0
14,2,0
14,2,0
12,3,0
10,4,0
14,2,0
12,3,0
10,1,2
18,0,0
12,3,0
14,2,0
10,4,0
14,2,0
18,0,0
16,1,0
14,2,0
12,3,0
12,3,0
14,2,0
10,4,0
14,2,0
16,1,0
12,3,0
11,2,1
14,2,0
14,2,0
12,3,0
14,2,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
14,2,0
10,4,0
18,0,0
14,2,0
14,2,0
10,4,0
11,2,1
10,4,0
14,2,0
16,1,0
12,3,0
14,2,0
12,0,2
